'263083776266096641',@Spiniello96 is 32nd street area out of power,on-topic
'262625666049130497',I feel like I should order a large pizza cause you know...gots to eat during the hurricane.,on-topic
'262596509672017920',"RT @NoOneAtWCUSays: I think hurricane sandy is just short for Sandusky, because we're about to get #buttfucked",on-topic
'263424977506799616',Under the Williamsburg Bridge. #sandy  @ Williamsburg Bridge http://t.co/h12bavQC,on-topic
'263346786264035328',RT @chikeizzel: Really thought this hurricane would've given me a few days off,on-topic
'262596440025624576',The hurricane sandy tweets Lmao&gt;&gt;&gt;,on-topic
'262994569342357504',RT @barleans: Our thoughts and prayers go out to friends and family on the East Coast as Hurricane Sandy heads to shore. Please be safe!,on-topic
'263021997972393985',RT @MotivateAthlete: Retweet for respect. Tomb of the Unknown Soldier continues to stay guarded throughout Hurricane Sandy. http://t.co/ ...,on-topic
'262940468537597952',RT @CloudHopGunna: If you guy watched the news the hurricane isn't suppose to start until later ..,on-topic
'263356803289595905',`O.ops Look like Nobody Will! Thvt Hurricane Hoe Got the streets looking real dirty! :-),on-topic
'262673580981108736',"The hurricane doesn't bother me, as long as my family and close friends stay safe. I'm already worried sick about all of them",on-topic
'263330503598419969',Finally a genuine photograph of Hurricane Sandy.. http://t.co/iZr8g8iu,on-topic
'263249801636884480',"@mjrill thank you. The worst is over, thankfully. It is in your neck of the woods now. Don't underestimate it.",on-topic
'262750177302032385',Hurricane Sandy Likely to Make Landfall Near Atlantic City http://t.co/RdquCLty,on-topic
'262807173208342528',RT @ConcernedMom69: WELL I DUNNO BOUT YOU NEIGHBOR BUT BOY HOWDY I SURE HOPE THIS HURRICANE SWALLOWS MY MISERABLE EXISTENCE,on-topic
'262929247662911489',RT @hurricannesandy: I'M JUST A SASSY GHETTO HURRICANE TRYNA NAVIGATE MY WAY THROUGH THIS WORLD U KNO.,on-topic
'262463899616571392',"Hurricanes, tsunamis, earthquakes and the prospect of President Romney.  I think this is the end. #tcot #p2 #sandy",on-topic
'262576361959464960',When's this hurricane even coming,on-topic
