'592813502122819584',"\nall duplicate goods made in china flooding indian mrkts come nepal contributing chinese eco",off_topic
'592701556283318273',"#nepal may de lord be wth through this hard times",off_topic
'592843974936829953',"am happy for all of you #nepalearthquake",off_topic
'591903120038342656',"truly awful sight kathmandu darbar square unesco world heritage site in ruins after today earthquake",off_topic
'592786634405478400',"human do make mistakes but they are forgiven but if god makes mistake \nshould they be forgiven?\n#nepalearthquake",off_topic
'592870592983998464',"good to see fb campaign for nepal earthquake not related to ekarma but imp message thus sharing pls do your bit\n",off_topic
'592158035629342720',"heartbreaking",off_topic
'592590172866285568',"how come natural calamities be based on god you call #christianity bcoz they did not believe in jesus grow up #nepalearthquake",off_topic
'592871991532728322',"#nepal this cant be happening",off_topic
'592590599854759938',"raw known dead innepal",off_topic
'592920890007949312',"incredible insights from you nick great reporting sending peace amp love to nepal from holmfirth stay safe",off_topic
'592907503895236608',"himalayas nepalwho does not understand look nor understand va bc",off_topic
'592687177303220225',"this pic illustrates well what the nepalese must be feeling what pain and sorrow doing what can",off_topic
'592685973026316288',"thank you all for your prayers #nepalearthquake",off_topic
'592901582137733120',"buuuut probs wouldnt be safe anyway aaand if could id much rather go help nepal #abitfurther",off_topic
'592749641772433408',"mt everest hikers caught in deadly avalanche triggered by the #nepalearthquake on #worldnewstonight",off_topic
'592160706012688384',"sending my prayer to #nepalquake #praynepal #earthquake",off_topic
'592868981205245952',"\noh people please know your creator \n\n\n#nepalearthquake #nepal #islam is",off_topic
'592744321536925696',"#nepalearthquake will not go unnoticed please help those that need it the most and give them hope for better tomorrow",off_topic
'592165907637534721',"tragic \n#prayerstonepal #nepalearthquake",off_topic
'592822151109025792',"this is so heartbreaking",off_topic
'592158943696330752',"excellent efforts by #indianarmy as usual amp super urgency showed by goi for change well done #indiawithnepal",off_topic
'592782202116636673',"tragic himalayan disaster that could have better prepared for our hindu #editorial on the #nepalearthquake",off_topic
'592653552083951616',"our thoughts go out to all of those killed injured or missing and their loved ones in the wake of the earthquake #nepalearthquake",off_topic
'591915391883948032',"hindu mag #quake hits south central #tibet amp #nepal #news #truetibet",off_topic
'592617183198347264',"prayers and love #nepalearthquake",off_topic
'592594605352292352',"may god bless nepal and jathmandu #lordshiva",off_topic
'592692966365503488',"my heart re with those dat lost their loved ones in nepal re not alone #nepal",off_topic
'592073938378731520',"nepal finest",off_topic
'592821438836518912',"dear jesus \nyour agents are acting like insurance agents celebrating calamities to sell your brand \ngive them some rest #nepalearthquake",off_topic
'592591047844200448',"affected by earthquake #prayfornepal",off_topic
'592802671096176642',"news about creamation place in aryaghat pashupatinath temple area #nepal #kathmandu",off_topic
'591919713640325121',"so sad",off_topic
'592732280038252547',"#nepal #earthquake death toll tops now believe via org",off_topic
'592592943954853888',"oh my god hadn seen that pic was there less than months terrifying",off_topic
'592757254123823104',"statement on nepal david platt",off_topic
'592875390672207872',"nepal can rebuild without the world help via \n#praynepal",off_topic
'592767563869847554',"#marketings insensitive side during nepals tragedy #bmrtg",off_topic
'592197904745431040',"tragic poor people",off_topic
'592627713749295104',"this is truly haunting",off_topic
'591920261357645824',"visited kathmandu langtang himalayan ranges recruited amp worked with some marvelous people from nepal my wishes are with each amp everyone",off_topic
'592898834902159362',"continued prayers for nepal",off_topic
'592159372639240192',"now read it nepal the earth it is defending amp will not stop there is nothing safe from the hand of man amp we will pay all",off_topic
'592609732881457152',"#artshow gt gt via #danieleisenhut this liter vodka art bottle stands for auction for the benefit of nepal \nbiddi",off_topic
