'591902696925364224',"more than people killed in powerful nepal earthquake say government officials and police"
'591902700867981312',"these are the bloody epicenters of past few hour earthquakes in #nepal and still counting #nepalearthquake #pray"
'591902709634113536',"in the wake of the #earthquake in nepal hour control room has been set up by mea \n+ \n+ \n+"
'591902711538425856',"google has just launched person finder to help track missing persons #earthquake #nepal"
'591902712582656001',"ve never felt an earthquake like this in my entire life biggest in yrs bbc #nepal #nepalearthquake"
'591902715883618304',"latest pics sent to ani from kathmandu of #earthquake aftermath"
'591902719264174080',"#nepal in most earthquakes no fatality cause is trauma from collapsed buildings most vulnerable are elderly amp children"
'591902722938503168',"shame of you you are posting fake images of kathmandu earthquake \n#beshramndtv #earthquake"
'591902723185868800',"be part of rescue please smile and speak soft even everyone is in stress smile can help but irritation and anger won #earthquake #nepal"
'591902735420657665',"#nepal quake tremors reportedly felt in northern #india incl new delhi \nvia com"
'591902737601851393',"avalanche sweeps everest in nepal injured from"
'591902738134339586',"#breaking kathmandu landmark dharahara tower collapses after quake witnesses"
'591902741951188992',"morning ahead on powerful earthquake rocks nepal dozens are dead plus why is giving out free coffee in some places"
'591902743792517120',"live update on the #earthquake tragedy in #nepal persons killed according to nepal police initial estimate"
'591902750654402560',"nepal earthquake magnitude tremor hits kathmandu everest"
'591902753695268864',"nepal earthquake magnitude tremor hits kathmandu everest"
'591902757453344768',"thankyou for all the retweets sir once again guys here are the contact numbers for nepal share help"
'591902768178339840',"#earthquake helpline numbers of the indian embassy in nepal \n+ \n\n+"
'591902777288347648',"rt #breaking at least people killed in magnitude #earthquake in #nepal via"
'591902780090023936',"update humanitarian crisis in nepal dead toll may rises to prayers amp thought for nepalese friends"
'591902781197324289',"indian embassy helpline in nepal"
'591902783999188992',"story building collapsed in sat tale kapan #kathmandu #nepal"
'591902791775334401',"more than killed in powerful nepal #earthquake say government officials and police"
'591902792333295618',"abc breaking significant damage in kathmandu after major earthquake strikes nepal"
'591902794702987264',"pray for nepal #earthquake"
'591902801401229313',"map around magnitude #earthquake in nepal capital kathmandu"
'591902803603263488',"morning ahead on powerful earthquake rocks nepal dozens are dead plus why is giving out free coffee in some places"
'591902803905380352',"weve just launched person finder instance to help track missing persons for the #nepal earthquake gt"
'591902811475980288',"mea opens hour control room for queries regarding the nepal earthquake \nnumbers \n+ \n+ \n+"
'591902814475005954',"please pray for the people who are affected by the #earthquake in nepal #kathmandu"
'591902816815296512',"thinking of friends and colleagues in nepal"
'591902820539858945',"our thoughts are with friends amp colleagues in nepal as they respond to today devastating #eq"
'591902822553255936',"#google launches person finder service to help track people missing after #nepal #earthquake"
'591902823568248832',"some friends in sydney who come from #nepal can reach their families my prayers are with them #nepalearthquake #nepalquake #earthquake"
'591902831197560832',"#diime loco tv dead injured in bangladesh from nepal quake tv report dead injured in banglade"
'591902834708328448',"more than killed in powerful nepal #earthquake say government officials and police"
'591902838801862656',"my sister snaps this in bhaktapur #nepal ancient temples crumbling #nepalquake"
'591902838873137152',"nepal earthquake nation hit by worst tremor in years live updates"
'591902840701915136',"mea opens hour control room for queries regarding the nepal #earthquake \nnumbers \n+ \n+ \n+"
'591902841091928065',"more than killed in powerful nepal #earthquake say government officials and police"
'591902851623985152',"nepal was already soft target for missionaries amp ford foundation types now after #earthquake it will become paradise for them"
'591902853888880640',"kathmandus patan durbar square before and after the #nepalearthquake"
'591902860343775234',"mea opens hour control room for queries regarding the nepal earthquake \nnumbers \n+ \n+ \n+"
'591902872599547905',"bhaktapur #nepal today more from my sister #nepalquake"
'591902873266552832',"over killed in earthquake nepal home ministry pti"
'591902875229421569',"magnitude quake hits nepal causing big damage injuries death list cross ppl \n#msghelpearthquakevictims"
'591902881436958720',"kathmandu darbar square unesco world heritage site in ruins after today earthquake"
'591902892094717952',"few relatives and friends still out of contact in nepal is making be worried hope they re all fine"
'591902892921065472',"this breaks my heart \n#earthquake #nepal"
'591902893801742337',"still slightly shaking was shocked when read how many casualties in kathmandu my thoughts to all who have to suffer"
'591902895710326784',"terrible rt bhimsen tower aka dharahara in nepal \nbefore amp after the #earthquake #nepal"
'591902898923044864',"#earthquake and the damages #kathmandu #nepal"
'591902953428025344',"may allah look after all here the emergency contact numbers for nepal share help prayers with all in nepal"
'591902955386703872',"history ends in this types of #earthquake #kathmandu"
'591902960499560448',"helpline numbers to contact indian embassy in nepal"
'591902960646361088',"god help all ppl affected by the earthquake today praying for friends in nepal amp affected parts in india"
'591902961351020544',"more than people killed in powerful nepal earthquake say government officials and police"
'591902963385442304',"#tyonews tv dead injured in bangladesh from nepal quake tv report dead injured in bangl #news"
'591902970540789760',"#earthquakeinnepal\nhelpline numbers of indian embassy in kathmandu \n\n \n\nplease help by re tweeting"
'591902971069235200',"been seeing on news the devastation of the massive earthquake across #india and #nepal pray for all those affected by the #earthquake"
'591902975133548544',"dead injured in bangladesh from earthquake originating in nepal ap #earthquake more"
'591902976207233024',"gcse #geography hope you are reading all about the #earthquake in nepal #restlessearth"
