'592750669364338688',"heard from my cousin in nepal phew",1
'592684323557482496',"rising love for #nepal \nplay the long mantra recorded by elise jen\nchant om mani peme hung \n#love #collagenbabe",1
'592592711133212672',"news the office of his holiness the dalai lama",1
'592921261182984192',"babies born to surrogate mothers in nepal face religious obstacles once they arrive here",1
'592156315570479104',"missing in #rt #nepalearthquake",1
'592740253590560769',"really hope st john likes felix idea of donating the profits of our ep launch night to charities supporting people affected in nepal",1
'592636166299471873',"from uae free remittance to nepal through uae exchange",1
'592866250298122242',"hoping this stops soon so they can rebuild",1
'592775807841480706',"dont rush to #nepal to help read this first by claire bennett",1
'592738104311676928',"missing momo #kathmandu",1
'591903009606672384',"latest pics sent to ani from kathmandu of #earthquake aftermath",1
'591903221452394496',"please share\n",1
'592688057159122946',"sonia writes to nepal pm expresses shock over loss of lives new delhi apr congress president son #india",1
'592651419154522112',"adventist church president expresses sympathy during nepal devastation",1
'592635003437076480',"tell us about the comprehension you used when discussing nepal",1
'592648648401498113',"quake aid need acute in nepal capital more so in villages via",1
'592821931134623744',"the rob black show via st #nepalearthquake #baltimoreriots #whcd #georgewbush #obama #irandeal #iraq",1
'592182126503690240',"all my prayers",1
'592646301390508034',"aftershocks continue to hit nepal where more than people have died after worst",1
'592591154610311168',"these people will criticize for the sake of criticism come what may and wont appreciate the efforts",1
'592157387257151488',"#soulvultures has sole motive of converting even during times like #nepalearthquake",1
'592680159691538435',"second in #nepal type event is to gather on central rally point and send out groups to find other survivors returning to the rally point",1
'592593998495244288',"bbc news video shows moment of everest avalanche #nepalearthquake",1
'591914839200690178',"where is nepalindia?",1
'592753997112602625',"tx for the follow can you ask your followers text help to to give to the #nepalearthquake appeal? tx",1
'592632175171866624',"hy guys check this link \nenjoy it",1
'592759417155772417',"carpentrix #businessmatters midnight gmt #nepalearthquake #japan islands #worklifebalance",1
'592684973829795843',"tourism at earthquakes epicenter #travel #nepal",1
'592691651363082240',"when you have problems in your life just have look at the #nepalearthquake \nand look our problems are so much smaller then #earthquake",1
'592591127951216641',"nepal get well soon",1
'592841896994742272',"oh dear rip",1
'592765750529622018',"repost from lojo #prayfornepal#prayer#nepalearthquake#angels#awareness#savenepal#prayers#healing",1
'592774915310354433',"wrote blog post on the #nepalearthquake felt bad enough about that now #baltimoreriots? losing hope here",1
'592733181998141440',"srsly srsly smdh try this instead",1
'592797732500283392',"thank you for yiur help #nepalearthquake",1
'592593342354952192',"only you can do this for nepal against disaster #thankyoupm",1
'592155073230188546',"ancient collision made #nepalearthquake inevitable #earthquake #platetectonics #nepal #buildingcodes #mounteverest",1
