503643342585233408,Real time coverage of #Napa California #earthquake at http://napa http://t.co/juWy9ujELN |  @allaboutnapa #napaquake
503643551138607105,Real time coverage of #Napa California #earthquake at http://napa http://t.co/F56DeV6ceM |  @allaboutnapa #napaquake
503643126683009025,Outstanding images of Bay Area #earthquake damage by @karlmondon and @garyjreyes for @viewfinderbang http://t.co/glKd64JcuT
503643466531102720,Real time coverage of #Napa California #earthquake at http://napa http://t.co/MqVhKr8ukv |  @allaboutnapa #napaquake
503643677437464577,More Than A Dozen Buildings Uninhabitable After Napa Earthquake http://t.co/T8tsBAG2RZ #ff @EcoJive
503643045867188224,Oh, California - this, via @vickydnguyen: Skaters find upside to #napaquake. Photo from #nbcbayarea's Jeremy Carroll http://t.co/VMcw6hQcjf
503643624622391296,.@CaltransHQ has deployed dive teams to Bay Area toll bridges for #Napa quake
503643219885031424,Some beautiful pottery at Thomas Bartlett store in Napa was broken in earthquake. http://t.co/WMqvyGeNng
503643778687963136,California in one picture. MT @vickydnguyen: Napa skaters finding upside to quake damage. Photo from Jeremy Carroll http://t.co/FoAmlHtrg4
503643551025348609,"Will be barrel pickup sticks #napaearthquake" http://t.co/qF4PEPuHTm RT @matthiassonwine #napa #earthquake
503643605521944576,MT @AlexJamesFitz: Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.co/Ty33o3pzn6
503643981469593600,Earthquake prompts concern for Napa's wine makers http://t.co/2g4ROv3Djm
503643158580690944,Map of Bay Area's 6.0 quake, aftershocks and damage. Updating throughout the day. http://t.co/yV6tgQuE10 http://t.co/FbOJoo2Ht4
503643338332180482,Wow! A pretty big earthquake did hit the Napa area...
503644220964356096,Update: Injury toll from #Napaquake has risen to 120. http://t.co/Ejj6x6QIFY http://t.co/K30rlaKwLP
503644453459218432,"@SS_Geography: Damage reports from Napa Valley earthquake continue to appear http://t.co/Ic93AXEfq5"#restlessearth
503643315548323840,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643771553067008,Backside of historic downtown #Napa home folded all different ways #napaquake http://t.co/9f2nEliyJI
503643113793933312,Big earthquake in Napa this morning. Locals described it as "vibrant and intense, but not overly flamboyant with a clean, earthy finish."
503643192734916608,Sending prayers to those affected by Napa &amp; SFO earthquake. Hoping for a swift recovery, rebuilding and healing.
503644086856077313,PLEASE RETWEET &amp; PRAY For People Hurt In The #napaquake! http://t.co/MKnVWK3ooA
503643751961874432,Numerous Buildings Uninhabitable After Bay Area Earthquake   via @TheBlaze  http://t.co/PBx7rRQk6q
503643345496047616,Real time coverage of #Napa California #earthquake at http://napa http://t.co/NKrmzVG8zZ |  @allaboutnapa #napaquake
503643306291896320,Real time coverage of #Napa California #earthquake at http://napa http://t.co/VeEdL5928c |  @allaboutnapa #napaquake
503643307071639552,Sad news :( "Earthquake Rattles Napa Harvest" - Vinography: A Wine Blog http://t.co/DYvqxGeGaJ #wine via @vinography
503643483442532353,Real time coverage of #Napa California #earthquake at http://napa http://t.co/XsMNLELTis |  @allaboutnapa #napaquake
503644588301504512,Follow @Cal_OES and @RedCrossCRC for #napaquake updates
503643285572055042,California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http://t.co/S2v5wea8ET
503643570721394688,Real time coverage of #Napa California #earthquake at http://napa http://t.co/W5IckRM3KF |  @allaboutnapa #napaquake
503643476207337472,Real time coverage of #Napa California #earthquake at http://napa http://t.co/E0qvV0CLeO |  @allaboutnapa #napaquake
503643516883709952,Real time coverage of #Napa California #earthquake at http://napa http://t.co/kFxkVuzpG7 |  @allaboutnapa #napaquake
503643477683752961,Real time coverage of #Napa California #earthquake at http://napa http://t.co/Pri8nd0hlf |  @allaboutnapa #napaquake
503643304790360065,Real time coverage of #Napa California #earthquake at http://napa http://t.co/wHRh15Wq4b |  @allaboutnapa #napaquake
503643462370328576,Real time coverage of #Napa California #earthquake at http://napa http://t.co/ZQpyHEYxkV |  @allaboutnapa #napaquake
503643364827598848,Blog on Napa quake + on making this week all about #napawine (in http://t.co/Zv16c10cgr @KGreenPR @cathycorison @JamieKutch
503644147933511680,California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http://t.co/S2v5wea8ET
503644494013558784,The 6.0 M near the Bay Area this morning was the largest quake to hit that area since the Loma Prieta earthquake almost 25 years ago.
503644475345088512,Wishing all our Napa/Sonoma County family &amp; friends good wishes for a speedy recovery following today's scary quake. So happy all are safe!
503643460797485056,Real time coverage of #Napa California #earthquake at http://napa http://t.co/4lQMxZDxqc |  @allaboutnapa #napaquake
503644404343513089,Napa quake went threw my place early in the morning.
503644216137097217,Today's California quake is a good reminder to review your family's emergency preparedness plan: http://t.co/bZ785gjiSR #QuakeSafety
503644411298078721,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503644084435550208,3 People Critically Injured After California Quake @TPM http://t.co/1hJ9xJ2j6M
503644121643225088,Praying for those effected by the quake that hit the Bay Area this morning.
503644286819106816,UW prof says earthquake similar to #napaquake would be "devastating" if it hit Seattle. http://t.co/ai9JPvSaDq
503643692591095808,Strongest Earthquake in 25 Years Hits Northern California http://t.co/aZ8JvvjHJz
503643221218824192,Our thoughts go out to the Napa Valley community after this mornings earthquake. ~ @kathrynwalthall
